step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.9358333333333333,0.7230215827338129,0.628125,0.8516949152542372,0.7980596308741604
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,0.9991666666666666,0.9957805907172996,0.9915966386554622,1.0,0.999855505645963
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,0.9995833333333334,0.9978858350951374,0.9957805907172996,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,0.9995833333333334,0.9978858350951374,0.9957805907172996,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,0.9991666666666666,0.9957805907172996,0.9915966386554622,1.0,0.9915966386554622
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.8673469387755102,0.9115646258503401,0.9804878048780488,0.8516949152542372,0.9893244827854608
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,1.0,1.0,1.0,1.0,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.11083333333333334,0.18112049117421336,0.09957805907172995,1.0,0.23430002918757625
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.94375,0.7700170357751278,0.6438746438746439,0.9576271186440678,0.9637359236134667
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.9795833333333334,0.9044834307992202,0.8375451263537906,0.9830508474576272,0.9883783462631902
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.9883333333333333,0.9423868312757202,0.916,0.9703389830508474,0.9852803240184332
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.8875,0.6197183098591549,0.4641350210970464,0.9322033898305084,0.558878747835748
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,AE,0.07525,0.1337912731246585,0.07192010741859685,0.9575418994413408,0.08582019168857793
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,LSTM,0.9205833333333333,0.006256517205422315,0.046875,0.0033519553072625698,0.0830408175394108
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,DSFANet,0.9229166666666667,0.019088016967126194,0.1875,0.01005586592178771,0.08409603032781167
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,Stacking,0.92325,0.006472491909385114,0.09375,0.0033519553072625698,0.07887501594284548
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,XGBoostStacking,0.9153333333333333,0.16993464052287582,0.3161094224924012,0.11620111731843576,0.10392456213348586
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.27,0.2512820512820513,0.14411764705882352,0.98,0.573144972207713
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.3825,0.2537764350453172,0.1494661921708185,0.84,0.8518561879993812
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,DSFANet,0.2325,0.21483375959079284,0.12316715542521994,0.84,0.8589539435373752
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,Stacking,0.4275,0.268370607028754,0.1596958174904943,0.84,0.8587594698781387
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,XGBoostStacking,0.1275,0.19399538106235567,0.10966057441253264,0.84,0.11560975609756097
drift,NF-UNSW-NB15-v3.csv,adv_pgd,AE,0.715,0.4411764705882353,0.2922077922077922,0.9,0.6926543377825096
drift,NF-UNSW-NB15-v3.csv,adv_pgd,LSTM,0.3375,0.24068767908309455,0.14046822742474915,0.84,0.7628548605274874
drift,NF-UNSW-NB15-v3.csv,adv_pgd,DSFANet,0.1675,0.2014388489208633,0.11444141689373297,0.84,0.858854554094481
drift,NF-UNSW-NB15-v3.csv,adv_pgd,Stacking,0.3625,0.24778761061946902,0.1453287197231834,0.84,0.8566318103036705
drift,NF-UNSW-NB15-v3.csv,adv_pgd,XGBoostStacking,0.145,0.19718309859154928,0.11170212765957446,0.84,0.11639344262295082
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,AE,0.9225,0.7350427350427351,0.6417910447761194,0.86,0.5587028282065848
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,LSTM,0.895,0.27586206896551724,1.0,0.16,0.7338810953406982
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,DSFANet,0.875,0.0,0.0,0.0,0.998867924528302
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,Stacking,0.875,0.0,0.0,0.0,1.0
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,XGBoostStacking,0.875,0.0,0.0,0.0,0.9475
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,AE,0.9,0.7014925373134329,0.5595238095238095,0.94,0.8971932790343373
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,LSTM,0.7525,0.45901639344262296,0.3157894736842105,0.84,0.7914824078358329
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,DSFANet,0.7475,0.4540540540540541,0.3111111111111111,0.84,0.8693358449606502
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,Stacking,0.7575,0.46408839779005523,0.32061068702290074,0.84,0.8928773611965232
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,XGBoostStacking,0.7625,0.4692737430167598,0.32558139534883723,0.84,0.3053608820531827
