feature,mean_abs_shap
MIN_TTL,0.0024729422519771775
MAX_TTL,0.002382650249351422
L4_DST_PORT,0.0015213525691818775
FTP_COMMAND_RET_CODE,0.0011916464713647924
CLIENT_TCP_FLAGS,0.0009698309644789609
L4_SRC_PORT,0.0009608232794820401
ICMP_IPV4_TYPE,0.0009152739473344192
MAX_IP_PKT_LEN,0.0008965773310431271
LONGEST_FLOW_PKT,0.000884562204604073
ICMP_TYPE,0.0007992394332438895
MIN_IP_PKT_LEN,0.0007636483303258231
TCP_FLAGS,0.0006804565760025877
SERVER_TCP_FLAGS,0.000575154591565586
TCP_WIN_MAX_IN,0.0004814132689046817
DNS_QUERY_ID,0.00046655223067179163
DST_TO_SRC_AVG_THROUGHPUT,0.00042438509105168897
TCP_WIN_MAX_OUT,0.00026944646057933054
SRC_TO_DST_SECOND_BYTES,0.00026643955597991026
DST_TO_SRC_IAT_STDDEV,0.0001586907275970718
DST_TO_SRC_IAT_AVG,0.00015439056118650638
OUT_BYTES,0.00013645325573790942
SHORTEST_FLOW_PKT,0.00012182878434548922
SRC_TO_DST_AVG_THROUGHPUT,0.0001062046282588681
NUM_PKTS_1024_TO_1514_BYTES,0.0001007777518442417
IN_PKTS,9.093770907214224e-05
RETRANSMITTED_OUT_BYTES,8.58155816467129e-05
OUT_PKTS,8.297271092530375e-05
RETRANSMITTED_OUT_PKTS,8.037788914653208e-05
DST_TO_SRC_IAT_MAX,7.703499143886293e-05
DST_TO_SRC_SECOND_BYTES,6.887193783336897e-05
SRC_TO_DST_IAT_MAX,6.343196020380271e-05
NUM_PKTS_512_TO_1024_BYTES,6.337233980441788e-05
DNS_TTL_ANSWER,5.585292638202302e-05
PROTOCOL,5.462528213441362e-05
NUM_PKTS_UP_TO_128_BYTES,5.191067348231187e-05
DNS_QUERY_TYPE,4.749901079145974e-05
NUM_PKTS_256_TO_512_BYTES,4.5395132443864105e-05
DURATION_OUT,4.4694831917049506e-05
DURATION_IN,4.36175464391337e-05
RETRANSMITTED_IN_PKTS,3.8403739028202964e-05
NUM_PKTS_128_TO_256_BYTES,3.811896845668123e-05
FLOW_DURATION_MILLISECONDS,3.1497031302139585e-05
L7_PROTO,3.1072824254160385e-05
SRC_TO_DST_IAT_STDDEV,2.4379701135557458e-05
SRC_TO_DST_IAT_AVG,2.3374864993103867e-05
RETRANSMITTED_IN_BYTES,1.3936759475284125e-05
IN_BYTES,8.329766925567452e-06
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
