feature,mean_abs_shap
static::SERVER_TCP_FLAGS,0.006664096066901948
static::MIN_IP_PKT_LEN,0.0037421118125394058
static::MIN_TTL,0.0035684768343799077
static::TCP_FLAGS,0.0034824503271259745
static::MAX_TTL,0.0032527742924912673
static::ICMP_TYPE,0.0019796897894593713
static::ICMP_IPV4_TYPE,0.001672610631817406
static::MAX_IP_PKT_LEN,0.0012455129415976708
static::CLIENT_TCP_FLAGS,0.0011918308259147637
static::FTP_COMMAND_RET_CODE,0.0009564462633022686
static::L4_SRC_PORT,0.0009489386828304802
static::L7_PROTO,0.0007483191704153569
static::SRC_TO_DST_SECOND_BYTES,0.0007166804436955498
static::TCP_WIN_MAX_IN,0.0006683755350621823
static::LONGEST_FLOW_PKT,0.0006288491975922738
static::L4_DST_PORT,0.0006239305040420362
static::TCP_WIN_MAX_OUT,0.0005003548703108151
static::DST_TO_SRC_AVG_THROUGHPUT,0.00044543761931748057
static::NUM_PKTS_UP_TO_128_BYTES,0.0003525075572230918
static::SRC_TO_DST_AVG_THROUGHPUT,0.00018873540209900507
static::RETRANSMITTED_OUT_BYTES,0.00011650050583433824
static::RETRANSMITTED_OUT_PKTS,9.303156178617212e-05
static::DNS_QUERY_ID,8.765801198639427e-05
static::PROTOCOL,7.475022716246504e-05
static::NUM_PKTS_128_TO_256_BYTES,5.52685830884414e-05
static::OUT_BYTES,5.46370575623012e-05
static::SHORTEST_FLOW_PKT,4.916714861913363e-05
static::DST_TO_SRC_SECOND_BYTES,3.9524983355471165e-05
static::OUT_PKTS,3.9406468985558886e-05
static::RETRANSMITTED_IN_PKTS,3.549436446113052e-05
temporal::FLOW_END_MILLISECONDS,3.3983784571800515e-05
static::IN_PKTS,3.219654654254001e-05
static::NUM_PKTS_512_TO_1024_BYTES,3.056077629042947e-05
temporal::FLOW_START_MILLISECONDS,2.763930880234078e-05
temporal::DST_TO_SRC_IAT_STDDEV,1.5523912160464447e-05
static::NUM_PKTS_1024_TO_1514_BYTES,1.087480649057948e-05
temporal::DST_TO_SRC_IAT_AVG,8.68755627538853e-06
static::IN_BYTES,7.205043549138313e-06
static::RETRANSMITTED_IN_BYTES,2.716957886142457e-06
temporal::DST_TO_SRC_IAT_MAX,2.285275927504937e-06
static::NUM_PKTS_256_TO_512_BYTES,1.0095636746613665e-06
static::DNS_TTL_ANSWER,7.238095806992237e-07
static::DNS_QUERY_TYPE,3.678363041175866e-07
temporal::SRC_TO_DST_IAT_STDDEV,1.9858506518782847e-07
temporal::SRC_TO_DST_IAT_MAX,7.330936524531372e-08
temporal::SRC_TO_DST_IAT_AVG,4.138374182800081e-08
temporal::FLOW_DURATION_MILLISECONDS,1.4224903714687466e-09
temporal::DURATION_OUT,1.3365148393497569e-09
temporal::DURATION_IN,9.734080180030976e-10
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
