feature,mean_abs_shap
static::SERVER_TCP_FLAGS,0.0003889645954700427
static::MAX_TTL,0.000353275419234933
static::MIN_TTL,0.00031236830996022035
static::TCP_FLAGS,0.00018634304674738366
static::MIN_IP_PKT_LEN,0.0001440207131565785
static::CLIENT_TCP_FLAGS,0.0001364475162390022
static::ICMP_TYPE,0.00010159611707649674
static::DST_TO_SRC_AVG_THROUGHPUT,7.280930186261969e-05
static::FTP_COMMAND_RET_CODE,6.736077522973005e-05
static::LONGEST_FLOW_PKT,6.589385380131318e-05
static::TCP_WIN_MAX_IN,6.30099901719472e-05
static::TCP_WIN_MAX_OUT,5.9382862480639176e-05
static::MAX_IP_PKT_LEN,5.344464373737701e-05
static::ICMP_IPV4_TYPE,3.7355155000540205e-05
static::L7_PROTO,3.5857656365578804e-05
static::SRC_TO_DST_SECOND_BYTES,3.3773743012588396e-05
static::NUM_PKTS_UP_TO_128_BYTES,3.328332192857886e-05
static::L4_SRC_PORT,2.648632731032663e-05
static::OUT_PKTS,2.4573056258092586e-05
static::DST_TO_SRC_SECOND_BYTES,2.2376553416236788e-05
static::SHORTEST_FLOW_PKT,2.0419983348940462e-05
static::L4_DST_PORT,1.856945187439507e-05
static::PROTOCOL,1.6507505823448732e-05
static::SRC_TO_DST_AVG_THROUGHPUT,1.162197198185111e-05
static::IN_PKTS,8.654654863704536e-06
static::NUM_PKTS_128_TO_256_BYTES,7.007628559518864e-06
temporal::FLOW_END_MILLISECONDS,6.199716399990507e-06
static::RETRANSMITTED_OUT_PKTS,6.024152774219971e-06
static::RETRANSMITTED_OUT_BYTES,5.8887160509168975e-06
static::NUM_PKTS_1024_TO_1514_BYTES,4.636818488240602e-06
static::OUT_BYTES,4.092638699765283e-06
static::NUM_PKTS_512_TO_1024_BYTES,3.0170030580558423e-06
static::RETRANSMITTED_IN_PKTS,2.600181086609421e-06
temporal::FLOW_START_MILLISECONDS,2.449771738177731e-06
static::DNS_QUERY_ID,1.8405929528397813e-06
static::IN_BYTES,7.385730858185113e-07
static::RETRANSMITTED_IN_BYTES,3.596093131420786e-07
static::DNS_QUERY_TYPE,2.551567692250789e-07
static::NUM_PKTS_256_TO_512_BYTES,2.0854012487553363e-07
temporal::DST_TO_SRC_IAT_STDDEV,7.269377924612463e-08
static::DNS_TTL_ANSWER,6.031971847100283e-08
temporal::DST_TO_SRC_IAT_AVG,2.8168507734422505e-08
temporal::DST_TO_SRC_IAT_MAX,1.5209577913441465e-08
temporal::SRC_TO_DST_IAT_STDDEV,2.4023887025114573e-09
temporal::SRC_TO_DST_IAT_MAX,1.5846953751400689e-09
temporal::SRC_TO_DST_IAT_AVG,4.1535697918202926e-10
temporal::DURATION_OUT,2.132397592283599e-10
temporal::DURATION_IN,1.292194112589894e-10
temporal::FLOW_DURATION_MILLISECONDS,8.134938201411173e-11
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
