step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.912,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.5432332971615865
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,0.992,0.9696969696969697,1.0,0.9411764705882353,0.972592910403598
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.762589928057554,0.8307692307692308,0.9759036144578314,0.7232142857142857,0.9180738193709628
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,0.9496402877697842,0.967741935483871,1.0,0.9375,0.9989073930330652
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,1.0,1.0,1.0,1.0,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.952,0.8125,0.8125,0.8125,0.6048936473490533
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.952,0.8333333333333334,0.75,0.9375,0.9558862106541335
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.984,0.9411764705882353,0.8888888888888888,1.0,0.9952597607958139
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.992,0.9696969696969697,0.9411764705882353,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.884,0.17142857142857143,1.0,0.09375,0.9890782828282828
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,AE,0.023333333333333334,0.04560260586319218,0.023333333333333334,1.0,0.06564924820502914
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,LSTM,0.44,0.011764705882352941,0.006134969325153374,0.14285714285714285,0.014801983028378166
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,DSFANet,0.97,0.0,0.0,0.0,0.01680648423112318
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,Stacking,0.97,0.0,0.0,0.0,0.01614363907478241
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,XGBoostStacking,0.9766666666666667,0.0,0.0,0.0,0.02087642418930763
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.888,0.5,0.6363636363636364,0.4117647058823529,0.5313185603970997
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.88,0.6590909090909091,0.5370370370370371,0.8529411764705882,0.883560821115253
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,DSFANet,0.304,0.2564102564102564,0.15,0.8823529411764706,0.8979081408106245
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,Stacking,0.808,0.5555555555555556,0.40540540540540543,0.8823529411764706,0.8982867183840609
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,XGBoostStacking,0.86,0.0,0.0,0.0,0.7917002562786573
drift,NF-UNSW-NB15-v3.csv,adv_pgd,AE,0.892,0.5263157894736842,0.6521739130434783,0.4411764705882353,0.5266153748793144
drift,NF-UNSW-NB15-v3.csv,adv_pgd,LSTM,0.792,0.5272727272727272,0.3815789473684211,0.8529411764705882,0.8738304014023451
drift,NF-UNSW-NB15-v3.csv,adv_pgd,DSFANet,0.256,0.24390243902439024,0.14150943396226415,0.8823529411764706,0.8977373073947335
drift,NF-UNSW-NB15-v3.csv,adv_pgd,Stacking,0.568,0.35714285714285715,0.22388059701492538,0.8823529411764706,0.8955645040770814
drift,NF-UNSW-NB15-v3.csv,adv_pgd,XGBoostStacking,0.864,0.0,0.0,0.0,0.8183333694169608
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,AE,0.832,0.0,0.0,0.0,0.12163194444928656
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,LSTM,0.88,0.21052631578947367,1.0,0.11764705882352941,0.3512126280702462
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,DSFANet,0.864,0.0,0.0,0.0,0.9816883484162896
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,Stacking,0.864,0.0,0.0,0.0,1.0
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,XGBoostStacking,0.864,0.0,0.0,0.0,1.0
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,AE,0.884,0.4727272727272727,0.6190476190476191,0.38235294117647056,0.5348908875730856
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,LSTM,0.908,0.7228915662650602,0.6122448979591837,0.8823529411764706,0.9091885623488523
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,DSFANet,0.684,0.4316546762589928,0.2857142857142857,0.8823529411764706,0.9062674958682719
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,Stacking,0.728,0.46875,0.3191489361702128,0.8823529411764706,0.9166398299963303
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,XGBoostStacking,0.86,0.0,0.0,0.0,0.8493053298667533
