step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.872,0.6235294117647059,0.4818181818181818,0.8833333333333333,0.8335227615751347
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.8537414965986394,0.9038031319910514,0.957345971563981,0.8559322033898306,0.9850128324246616
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,0.9965986394557823,0.9978768577494692,1.0,0.9957627118644068,0.9999293785310734
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,0.9965986394557823,0.9978768577494692,1.0,0.9957627118644068,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.186,0.22770398481973433,0.1284796573875803,1.0,0.3422643176791482
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.884,0.6704545454545454,0.5086206896551724,0.9833333333333333,0.9686759259930205
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.978,0.9147286821705426,0.855072463768116,0.9833333333333333,0.986021505376344
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.992,0.9672131147540983,0.9516129032258065,0.9833333333333333,0.9961202185792352
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.922,0.7417218543046358,0.6153846153846154,0.9333333333333333,0.6743859649122806
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,AE,0.03375,0.06529625151148731,0.03375,1.0,0.03375
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,LSTM,0.965,0.0,0.0,0.0,0.033293667052462346
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,DSFANet,0.96625,0.0,0.0,0.0,0.21953648457114602
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,Stacking,0.96625,0.0,0.0,0.0,0.3328101754556269
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,XGBoostStacking,0.9675,0.2777777777777778,0.5555555555555556,0.18518518518518517,0.13080055507704086
drift,NF-UNSW-NB15-v3.csv,natural_NF_CICIDS2018_v3,AE,0.0,0.0,0.0,0.0,0.0
