feature,mean_abs_shap
static::MAX_TTL,0.07619432001525148
static::MIN_TTL,0.053821722422058335
static::SERVER_TCP_FLAGS,0.02786417667360706
static::TCP_FLAGS,0.007006298779649547
static::CLIENT_TCP_FLAGS,0.006129090721775676
static::ICMP_IPV4_TYPE,0.00540936504193642
static::LONGEST_FLOW_PKT,0.0043600514227497555
static::DST_TO_SRC_AVG_THROUGHPUT,0.004316219421362573
static::TCP_WIN_MAX_OUT,0.004214575193458923
static::ICMP_TYPE,0.004133118441884654
static::MAX_IP_PKT_LEN,0.003920123644259792
static::MIN_IP_PKT_LEN,0.0031552843031565684
static::FTP_COMMAND_RET_CODE,0.0030171072405882167
static::L4_DST_PORT,0.0027163151969776646
static::L7_PROTO,0.001979847999025638
static::TCP_WIN_MAX_IN,0.0018617434379656719
static::L4_SRC_PORT,0.0014008476181531745
static::DST_TO_SRC_SECOND_BYTES,0.001305119238690885
static::SRC_TO_DST_AVG_THROUGHPUT,0.0012851173836357487
static::SHORTEST_FLOW_PKT,0.0011924165433791815
static::DNS_QUERY_ID,0.0009877550140751493
static::NUM_PKTS_UP_TO_128_BYTES,0.0009485136915705538
static::SRC_TO_DST_SECOND_BYTES,0.0006138975016001834
static::PROTOCOL,0.0004400511691773471
temporal::FLOW_END_MILLISECONDS,0.0001366125764284064
static::NUM_PKTS_128_TO_256_BYTES,0.00010650482434745433
static::NUM_PKTS_1024_TO_1514_BYTES,8.112221472648427e-05
static::IN_PKTS,7.910633314744813e-05
static::NUM_PKTS_512_TO_1024_BYTES,7.616197281800002e-05
static::RETRANSMITTED_OUT_PKTS,6.44327121465179e-05
static::OUT_PKTS,6.137558736413449e-05
static::RETRANSMITTED_IN_PKTS,4.7374830549917474e-05
static::RETRANSMITTED_OUT_BYTES,4.5535587189972715e-05
static::OUT_BYTES,3.754531266797932e-05
temporal::FLOW_START_MILLISECONDS,1.5798115636612106e-05
static::NUM_PKTS_256_TO_512_BYTES,9.265738908048228e-06
static::IN_BYTES,9.119995434231565e-06
static::RETRANSMITTED_IN_BYTES,5.435896802550954e-06
static::DNS_QUERY_TYPE,1.6138569314490211e-06
temporal::DST_TO_SRC_IAT_STDDEV,4.68543909868373e-07
temporal::DST_TO_SRC_IAT_MAX,5.638003452449365e-08
temporal::DST_TO_SRC_IAT_AVG,5.015547120932531e-08
temporal::SRC_TO_DST_IAT_STDDEV,1.581627819692592e-08
temporal::SRC_TO_DST_IAT_AVG,7.321701921546542e-09
static::DNS_TTL_ANSWER,6.62034012807226e-09
temporal::SRC_TO_DST_IAT_MAX,3.86137016837007e-09
temporal::DURATION_IN,3.1911906390199746e-09
temporal::DURATION_OUT,2.3572861007119132e-09
temporal::FLOW_DURATION_MILLISECONDS,1.0884411980796384e-09
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
