feature,mean_abs_shap
FLOW_END_MILLISECONDS,8.619725276570733e-05
FLOW_START_MILLISECONDS,5.070130941886575e-05
DST_TO_SRC_IAT_STDDEV,1.5241250169717446e-06
DST_TO_SRC_IAT_AVG,1.3480366382045972e-06
DST_TO_SRC_IAT_MAX,1.1928924166376698e-06
DURATION_OUT,7.85127462779589e-07
DURATION_IN,7.783552526535731e-07
FLOW_DURATION_MILLISECONDS,7.199255282058781e-07
SRC_TO_DST_IAT_MAX,7.148357644010117e-07
SRC_TO_DST_IAT_STDDEV,3.9229094567910794e-07
SRC_TO_DST_IAT_AVG,2.8105453846530293e-07
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
