step,dataset,model,attack,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain
retrain,NF-UNSW-NB15-v3.csv,AE,pgd,random,0.1,0.25,0.91875,0.92625,0.007500000000000062
retrain,NF-UNSW-NB15-v3.csv,AE,pgd,gd,0.1,0.25,0.91875,0.91875,0.0
retrain,NF-UNSW-NB15-v3.csv,AE,pgd,ensemble_rank,0.1,0.25,0.91875,0.92,0.0012500000000000844
retrain,NF-UNSW-NB15-v3.csv,AE,pgd,ensemble_hybrid,0.1,0.25,0.91875,0.9225,0.003750000000000031
retrain,NF-UNSW-NB15-v3.csv,AE,gdkde,random,0.1,0.25,0.9075,0.91875,0.011249999999999982
retrain,NF-UNSW-NB15-v3.csv,AE,gdkde,gd,0.1,0.25,0.9075,0.92375,0.016249999999999987
retrain,NF-UNSW-NB15-v3.csv,AE,gdkde,ensemble_rank,0.1,0.25,0.9075,0.92,0.012500000000000067
retrain,NF-UNSW-NB15-v3.csv,AE,gdkde,ensemble_hybrid,0.1,0.25,0.9075,0.92375,0.016249999999999987
retrain,NF-UNSW-NB15-v3.csv,LSTM,pgd,random,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,pgd,gd,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,pgd,ensemble_rank,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,pgd,ensemble_hybrid,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,gdkde,random,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,gdkde,gd,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,gdkde,ensemble_rank,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,LSTM,gdkde,ensemble_hybrid,0.1,0.25,0.9075,0.9075,0.0
retrain,NF-UNSW-NB15-v3.csv,DSFANet,pgd,random,0.1,0.25,0.18,0.40125,0.22125
retrain,NF-UNSW-NB15-v3.csv,DSFANet,pgd,gd,0.1,0.25,0.18,0.2275,0.047500000000000014
retrain,NF-UNSW-NB15-v3.csv,DSFANet,pgd,ensemble_rank,0.1,0.25,0.18,0.25125,0.07124999999999998
retrain,NF-UNSW-NB15-v3.csv,DSFANet,pgd,ensemble_hybrid,0.1,0.25,0.18,0.33,0.15000000000000002
retrain,NF-UNSW-NB15-v3.csv,DSFANet,gdkde,random,0.1,0.25,0.4975,0.50625,0.00874999999999998
retrain,NF-UNSW-NB15-v3.csv,DSFANet,gdkde,gd,0.1,0.25,0.4975,0.8925,0.39499999999999996
retrain,NF-UNSW-NB15-v3.csv,DSFANet,gdkde,ensemble_rank,0.1,0.25,0.4975,0.51,0.012500000000000011
retrain,NF-UNSW-NB15-v3.csv,DSFANet,gdkde,ensemble_hybrid,0.1,0.25,0.4975,0.50625,0.00874999999999998
