feature,mean_abs_shap
DNS_QUERY_ID,0.0015871013006236944
TCP_FLAGS,0.0005891279416110705
DURATION_OUT,0.0004054790248092865
CLIENT_TCP_FLAGS,0.0003393696688952169
DST_TO_SRC_IAT_MAX,0.00029810539524540786
DST_TO_SRC_IAT_STDDEV,0.00026908485058222835
FLOW_DURATION_MILLISECONDS,0.0002632930557410119
MIN_TTL,0.00026305534902376854
SRC_TO_DST_IAT_STDDEV,0.0002595304599264999
TCP_WIN_MAX_IN,0.00024890063574293565
SERVER_TCP_FLAGS,0.00019366072277271552
DURATION_IN,0.00016417030411444095
PROTOCOL,0.00014730781448525428
L4_DST_PORT,0.00014439104718427676
MAX_TTL,0.00013418310966119154
TCP_WIN_MAX_OUT,0.00013220770236269756
MIN_IP_PKT_LEN,0.00012629522335826958
IN_PKTS,0.00011091076791466592
DST_TO_SRC_AVG_THROUGHPUT,0.0001108098153566357
NUM_PKTS_512_TO_1024_BYTES,0.0001085465166361627
SRC_TO_DST_IAT_MAX,0.00010494953451334003
RETRANSMITTED_IN_BYTES,0.00010028383856860643
L7_PROTO,9.094807977626887e-05
ICMP_IPV4_TYPE,8.878789783912594e-05
SRC_TO_DST_IAT_AVG,8.145862056418467e-05
SRC_TO_DST_SECOND_BYTES,8.065470373555582e-05
NUM_PKTS_1024_TO_1514_BYTES,7.763326377029328e-05
DST_TO_SRC_IAT_MIN,7.729318312747775e-05
NUM_PKTS_UP_TO_128_BYTES,7.508321046845763e-05
SRC_TO_DST_AVG_THROUGHPUT,7.430446080331429e-05
ICMP_TYPE,7.321936628377748e-05
LONGEST_FLOW_PKT,6.927726279304444e-05
L4_SRC_PORT,6.825141019491496e-05
NUM_PKTS_256_TO_512_BYTES,6.533988934730063e-05
IN_BYTES,6.334857033945343e-05
MAX_IP_PKT_LEN,6.259008293242275e-05
OUT_PKTS,6.037430822568224e-05
DNS_QUERY_TYPE,5.7985847437364905e-05
SRC_TO_DST_IAT_MIN,5.5833886771178724e-05
NUM_PKTS_128_TO_256_BYTES,5.46433255686446e-05
SHORTEST_FLOW_PKT,5.041715450494596e-05
DNS_TTL_ANSWER,4.599695201867348e-05
DST_TO_SRC_IAT_AVG,3.931032856884739e-05
OUT_BYTES,3.247083899512857e-05
DST_TO_SRC_SECOND_BYTES,2.9434556794017125e-05
RETRANSMITTED_IN_PKTS,1.0629484502177134e-05
RETRANSMITTED_OUT_BYTES,0.0
RETRANSMITTED_OUT_PKTS,0.0
FTP_COMMAND_RET_CODE,0.0
