feature,mean_abs_shap
temporal::FLOW_START_MILLISECONDS,0.30379870716606094
temporal::FLOW_END_MILLISECONDS,0.11231950408882767
temporal::FLOW_DURATION_MILLISECONDS,0.04291846156784231
static::TCP_FLAGS,0.03435356592126482
static::TCP_WIN_MAX_OUT,0.03130434838312794
temporal::DST_TO_SRC_IAT_STDDEV,0.030141486892216563
static::MIN_IP_PKT_LEN,0.030117215379868868
static::PROTOCOL,0.02541013234517777
static::TCP_WIN_MAX_IN,0.022988686014082306
temporal::DURATION_IN,0.02151329323529012
static::L4_SRC_PORT,0.020879718306605354
temporal::SRC_TO_DST_IAT_MAX,0.018847056648320405
static::CLIENT_TCP_FLAGS,0.018365773266975794
temporal::SRC_TO_DST_IAT_STDDEV,0.018348481466227896
temporal::DST_TO_SRC_IAT_MAX,0.01797240237610822
static::L7_PROTO,0.017065215133516175
static::MAX_TTL,0.012439510895444528
temporal::DST_TO_SRC_IAT_AVG,0.011730494620360332
temporal::DURATION_OUT,0.01135924505490209
static::SERVER_TCP_FLAGS,0.011159741299434246
static::MIN_TTL,0.010397502105161039
static::L4_DST_PORT,0.009573115343800963
static::DNS_QUERY_ID,0.0033887249064036952
temporal::SRC_TO_DST_IAT_AVG,0.0032406406057653215
static::ICMP_IPV4_TYPE,0.001994663518153139
static::ICMP_TYPE,0.0018310844147691797
static::SRC_TO_DST_AVG_THROUGHPUT,0.0017537135082477562
temporal::DST_TO_SRC_IAT_MIN,0.0016785660126533487
static::SHORTEST_FLOW_PKT,0.001631879340601472
static::NUM_PKTS_128_TO_256_BYTES,0.001121344368652899
static::MAX_IP_PKT_LEN,0.0011194764151156277
static::LONGEST_FLOW_PKT,0.0011189756507860693
static::RETRANSMITTED_IN_PKTS,0.001080553446149679
static::DNS_QUERY_TYPE,0.0005939987112128619
temporal::SRC_TO_DST_IAT_MIN,0.00047736902599631036
static::DST_TO_SRC_SECOND_BYTES,0.0002098789759401143
static::SRC_TO_DST_SECOND_BYTES,0.00014467815752414737
static::NUM_PKTS_256_TO_512_BYTES,0.00013720471777745047
static::NUM_PKTS_512_TO_1024_BYTES,0.00011493756003234102
static::DST_TO_SRC_AVG_THROUGHPUT,8.948414746626221e-05
static::RETRANSMITTED_IN_BYTES,1.1108644007906676e-05
static::IN_BYTES,1.0291007746587866e-05
static::OUT_PKTS,9.178311352531221e-06
static::NUM_PKTS_1024_TO_1514_BYTES,4.113634680491529e-06
static::NUM_PKTS_UP_TO_128_BYTES,3.316472630550925e-06
static::OUT_BYTES,3.2737650496272864e-06
static::IN_PKTS,2.969595423873983e-06
static::DNS_TTL_ANSWER,2.4566284191812614e-06
static::RETRANSMITTED_OUT_PKTS,1.6130871812847225e-06
static::RETRANSMITTED_OUT_BYTES,3.9942120629229973e-07
static::FTP_COMMAND_RET_CODE,0.0
