step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-CICIDS2018-v3.csv,clean,AE,0.907,0.579185520361991,0.7300380228136882,0.48,0.6046416347324233
drift,NF-CICIDS2018-v3.csv,clean,LSTM,0.9916666666666667,0.9681528662420382,0.987012987012987,0.95,0.989250011979929
drift,NF-CICIDS2018-v3.csv,clean,DSFANet,0.991,0.9655172413793104,0.9869451697127938,0.945,0.9770572624353063
drift,NF-CICIDS2018-v3.csv,clean,Stacking,0.992,0.9693877551020408,0.9895833333333334,0.95,0.9895164530208298
drift,NF-CICIDS2018-v3.csv,clean,XGBoostStacking,0.992,0.969309462915601,0.9921465968586387,0.9475,0.9869651436956484
drift,NF-CICIDS2018-v3.csv,label_shift,AE,0.5486666666666666,0.605707629586488,0.9820585457979226,0.4378947368421053,0.9618442599932346
drift,NF-CICIDS2018-v3.csv,label_shift,LSTM,0.9606666666666667,0.9745470232959448,0.9991154356479434,0.9511578947368421,0.9994654819952321
drift,NF-CICIDS2018-v3.csv,label_shift,DSFANet,0.9603333333333334,0.9743257820927724,0.9991150442477876,0.9507368421052631,0.9988242142006865
drift,NF-CICIDS2018-v3.csv,label_shift,Stacking,0.9606666666666667,0.9745470232959448,0.9991154356479434,0.9511578947368421,0.9994996580331656
drift,NF-CICIDS2018-v3.csv,label_shift,XGBoostStacking,0.961,0.974757281553398,0.9995575221238938,0.9511578947368421,0.9995162424647687
drift,NF-CICIDS2018-v3.csv,corruption,AE,0.12066666666666667,0.21534800713860797,0.12066666666666667,1.0,0.12066666666666667
drift,NF-CICIDS2018-v3.csv,corruption,LSTM,0.798,0.32062780269058294,0.269811320754717,0.39502762430939226,0.25106245662907833
drift,NF-CICIDS2018-v3.csv,corruption,DSFANet,0.8383333333333334,0.1680960548885077,0.22171945701357465,0.13535911602209943,0.1502947888187789
drift,NF-CICIDS2018-v3.csv,corruption,Stacking,0.8313333333333334,0.18122977346278318,0.21875,0.15469613259668508,0.1995996908579767
drift,NF-CICIDS2018-v3.csv,corruption,XGBoostStacking,0.8503333333333334,0.2164048865619546,0.2938388625592417,0.1712707182320442,0.22309834330902792
drift,NF-CICIDS2018-v3.csv,natural_NF_BoT_IoT_v3,AE,0.997,0.9984977466199298,0.997,1.0,0.997
drift,NF-CICIDS2018-v3.csv,natural_NF_BoT_IoT_v3,LSTM,0.06866666666666667,0.12523481527864747,0.9852216748768473,0.06686726847208292,0.9940125753117537
drift,NF-CICIDS2018-v3.csv,natural_NF_BoT_IoT_v3,DSFANet,0.014333333333333333,0.022479338842975205,1.0,0.011367435640254095,0.993876804951277
drift,NF-CICIDS2018-v3.csv,natural_NF_BoT_IoT_v3,Stacking,0.029,0.05206638464041653,0.975609756097561,0.026746907388833167,0.9943437873322193
drift,NF-CICIDS2018-v3.csv,natural_NF_BoT_IoT_v3,XGBoostStacking,0.01,0.013944223107569721,1.0,0.007021063189568706,0.9946205173151873
