step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.9366666666666666,0.7323943661971831,0.6842105263157895,0.7878787878787878,0.6720880742681459
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,0.99,0.9538461538461539,0.96875,0.9393939393939394,0.9869848345229084
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,1.0,1.0,1.0,1.0,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.9011627906976745,0.9358490566037736,0.9763779527559056,0.8985507246376812,0.9884965856545195
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,0.9767441860465116,0.9852941176470589,1.0,0.9710144927536232,0.9987617192721163
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.7066666666666667,0.4358974358974359,0.29310344827586204,0.85,0.7171180095705635
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.93,0.7789473684210526,0.6727272727272727,0.925,0.9505041043583184
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.9766666666666667,0.9195402298850575,0.851063829787234,1.0,0.9975434981684982
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.9866666666666667,0.9512195121951219,0.9285714285714286,0.975,0.9965972222222224
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.94,0.7906976744186046,0.7391304347826086,0.85,0.6482608695652173
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,AE,0.032,0.06201550387596899,0.032,1.0,0.053824308495713485
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,LSTM,0.464,0.021897810218978103,0.011627906976744186,0.1875,0.04126435702397481
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,DSFANet,0.966,0.19047619047619047,0.4,0.125,0.16802395039626944
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,Stacking,0.964,0.0,0.0,0.0,0.09409919702954861
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,XGBoostStacking,0.968,0.3333333333333333,0.5,0.25,0.149
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.89,0.611764705882353,0.5,0.7878787878787878,0.5710348475815336
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.5933333333333334,0.29069767441860467,0.17985611510791366,0.7575757575757576,0.7335066283280113
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,DSFANet,0.4766666666666667,0.24154589371980675,0.14367816091954022,0.7575757575757576,0.7849074415154672
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,Stacking,0.67,0.33557046979865773,0.21551724137931033,0.7575757575757576,0.7828807177812759
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,XGBoostStacking,0.13,0.1607717041800643,0.08992805755395683,0.7575757575757576,0.09479398299542184
drift,NF-UNSW-NB15-v3.csv,adv_pgd,AE,0.9166666666666666,0.6753246753246753,0.5909090909090909,0.7878787878787878,0.5456468871235267
drift,NF-UNSW-NB15-v3.csv,adv_pgd,LSTM,0.44333333333333336,0.2304147465437788,0.1358695652173913,0.7575757575757576,0.6377273686203198
drift,NF-UNSW-NB15-v3.csv,adv_pgd,DSFANet,0.4,0.21739130434782608,0.12690355329949238,0.7575757575757576,0.782507692833936
drift,NF-UNSW-NB15-v3.csv,adv_pgd,Stacking,0.5733333333333334,0.2808988764044944,0.1724137931034483,0.7575757575757576,0.7822452936763125
drift,NF-UNSW-NB15-v3.csv,adv_pgd,XGBoostStacking,0.18666666666666668,0.17006802721088435,0.09578544061302682,0.7575757575757576,0.09923139440380821
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,AE,0.85,0.0,0.0,0.0,0.11093669003042508
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,LSTM,0.9,0.21052631578947367,0.8,0.12121212121212122,0.4175145761240068
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,DSFANet,0.89,0.0,0.0,0.0,0.7777947576201316
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,Stacking,0.89,0.0,0.0,0.0,0.9896287329487294
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,XGBoostStacking,0.89,0.0,0.0,0.0,0.11
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,AE,0.95,0.7761194029850746,0.7647058823529411,0.7878787878787878,0.7089566590709547
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,LSTM,0.69,0.34965034965034963,0.22727272727272727,0.7575757575757576,0.7742447955212874
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,DSFANet,0.6466666666666666,0.32051282051282054,0.2032520325203252,0.7575757575757576,0.7971197087690945
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,Stacking,0.6833333333333333,0.3448275862068966,0.22321428571428573,0.7575757575757576,0.8045244528937358
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,XGBoostStacking,0.6533333333333333,0.3246753246753247,0.2066115702479339,0.7575757575757576,0.18319058352116205
