feature,mean_abs_shap
static::SRC_TO_DST_SECOND_BYTES,0.021793300782179156
static::ICMP_TYPE,0.012776658836365326
static::DST_TO_SRC_SECOND_BYTES,0.010923603030229285
static::DST_TO_SRC_AVG_THROUGHPUT,0.010494246667626305
static::SERVER_TCP_FLAGS,0.00819040870707492
static::MAX_IP_PKT_LEN,0.007234277317096397
static::L4_SRC_PORT,0.006957176659147346
static::OUT_BYTES,0.006846041662693291
static::CLIENT_TCP_FLAGS,0.0067348736557179155
static::OUT_PKTS,0.006681769214932154
static::SRC_TO_DST_AVG_THROUGHPUT,0.006591251704614757
static::MAX_TTL,0.005998671111698111
static::L4_DST_PORT,0.005631276365518459
static::TCP_FLAGS,0.005591382532446067
static::NUM_PKTS_UP_TO_128_BYTES,0.005182878330766064
static::TCP_WIN_MAX_OUT,0.005166060531268484
static::TCP_WIN_MAX_IN,0.0049066451946118755
static::DNS_QUERY_ID,0.004787742052344939
static::RETRANSMITTED_OUT_BYTES,0.00450748592896664
static::FTP_COMMAND_RET_CODE,0.004421929248169122
static::NUM_PKTS_256_TO_512_BYTES,0.004070252838059245
static::LONGEST_FLOW_PKT,0.0031744955277824274
static::MIN_TTL,0.0030643921926789557
static::RETRANSMITTED_OUT_PKTS,0.0029805227663640653
static::ICMP_IPV4_TYPE,0.0029364693940113094
static::IN_BYTES,0.0027562480107007877
static::NUM_PKTS_1024_TO_1514_BYTES,0.0021128671813409666
static::RETRANSMITTED_IN_PKTS,0.0021065719259775826
static::IN_PKTS,0.002026859880601236
static::DNS_TTL_ANSWER,0.0018865648140905442
static::SHORTEST_FLOW_PKT,0.0018068309756743201
temporal::FLOW_START_MILLISECONDS,0.001536792947037752
static::L7_PROTO,0.0010200387977382605
static::RETRANSMITTED_IN_BYTES,0.000952192287234596
static::NUM_PKTS_128_TO_256_BYTES,0.0009004049905531712
static::MIN_IP_PKT_LEN,0.0007985606440432848
static::NUM_PKTS_512_TO_1024_BYTES,0.0007584801262161655
temporal::FLOW_END_MILLISECONDS,0.0006646644763589078
static::PROTOCOL,0.00040055202262166977
temporal::DST_TO_SRC_IAT_STDDEV,0.0002458201722633152
temporal::DST_TO_SRC_IAT_AVG,0.00010252437466998666
temporal::DST_TO_SRC_IAT_MAX,4.525892558809742e-05
static::DNS_QUERY_TYPE,1.8027915003622365e-05
temporal::SRC_TO_DST_IAT_MAX,4.644771876756798e-06
temporal::SRC_TO_DST_IAT_AVG,3.267922994857951e-06
temporal::DURATION_OUT,3.2315525945415576e-06
temporal::SRC_TO_DST_IAT_STDDEV,2.571931625314494e-06
temporal::DURATION_IN,2.457776817893019e-06
temporal::FLOW_DURATION_MILLISECONDS,1.3393269801086308e-06
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
