feature,mean_abs_shap
FLOW_END_MILLISECONDS,7.955962885475287e-05
FLOW_START_MILLISECONDS,3.50504204451596e-05
DST_TO_SRC_IAT_STDDEV,1.8112882086196436e-05
DST_TO_SRC_IAT_AVG,1.0459259010664468e-05
DST_TO_SRC_IAT_MAX,7.864255375800155e-06
SRC_TO_DST_IAT_STDDEV,3.5719723912031043e-06
SRC_TO_DST_IAT_AVG,2.335355785448856e-06
SRC_TO_DST_IAT_MAX,2.1744608806884003e-06
DURATION_OUT,1.2750884772760873e-06
DURATION_IN,9.62338899096471e-07
FLOW_DURATION_MILLISECONDS,7.02498584068123e-07
FTP_COMMAND_RET_CODE,4.59925062590294e-07
ICMP_IPV4_TYPE,2.1222257627975805e-07
TCP_WIN_MAX_OUT,1.9620167507339303e-07
DNS_TTL_ANSWER,1.7213089908985069e-07
DNS_QUERY_ID,1.6464915248912138e-07
ICMP_TYPE,1.6301772515561752e-07
TCP_WIN_MAX_IN,1.5577669701394292e-07
NUM_PKTS_1024_TO_1514_BYTES,4.98969022089818e-08
NUM_PKTS_512_TO_1024_BYTES,2.0206243053766393e-08
NUM_PKTS_UP_TO_128_BYTES,1.7858238695548506e-08
NUM_PKTS_256_TO_512_BYTES,1.7623711198733183e-08
NUM_PKTS_128_TO_256_BYTES,1.5844156722732983e-08
DST_TO_SRC_AVG_THROUGHPUT,1.4884234257432627e-08
RETRANSMITTED_OUT_BYTES,1.007703301011964e-08
SRC_TO_DST_AVG_THROUGHPUT,9.390896881411766e-09
RETRANSMITTED_OUT_PKTS,8.070168469251349e-09
DST_TO_SRC_SECOND_BYTES,4.663936008448069e-09
RETRANSMITTED_IN_BYTES,4.585023707925906e-09
SRC_TO_DST_SECOND_BYTES,4.220668122401246e-09
MAX_IP_PKT_LEN,3.5345510759768675e-09
RETRANSMITTED_IN_PKTS,3.509093410758359e-09
LONGEST_FLOW_PKT,1.7806841176278357e-09
SERVER_TCP_FLAGS,1.443440142016644e-09
CLIENT_TCP_FLAGS,1.2854649167760423e-09
TCP_FLAGS,1.2176273644687232e-09
DNS_QUERY_TYPE,9.98054135213991e-10
MIN_IP_PKT_LEN,9.408037325532234e-10
L4_SRC_PORT,8.36987842017323e-10
L4_DST_PORT,6.739008306060447e-10
OUT_BYTES,4.2926043478780894e-10
SHORTEST_FLOW_PKT,4.229500017631591e-10
OUT_PKTS,4.0646838745170407e-10
IN_PKTS,3.7533001005270053e-10
MAX_TTL,2.8391600981575275e-10
IN_BYTES,2.7994424784682516e-10
MIN_TTL,2.329544684866354e-10
L7_PROTO,1.45065817241637e-10
PROTOCOL,1.3457901026220354e-10
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
