feature,mean_abs_shap
SERVER_TCP_FLAGS,0.000592963351042734
DNS_QUERY_ID,0.0004531196181396846
TCP_WIN_MAX_OUT,0.00026545056495844323
TCP_WIN_MAX_IN,0.0001925157960750057
PROTOCOL,0.00011913416118981956
MAX_IP_PKT_LEN,9.584387266989637e-05
LONGEST_FLOW_PKT,9.414288161290775e-05
L4_SRC_PORT,5.797285378693829e-05
L7_PROTO,3.054783618725429e-05
IN_BYTES,2.8505559949863792e-05
MAX_TTL,2.827140731733877e-05
DNS_QUERY_TYPE,2.794149164337704e-05
DST_TO_SRC_SECOND_BYTES,2.7697730591593777e-05
MIN_TTL,2.4674666600897593e-05
L4_DST_PORT,2.2755740631716856e-05
DURATION_OUT,2.2029539940639707e-05
FLOW_DURATION_MILLISECONDS,2.159060838596089e-05
DST_TO_SRC_IAT_STDDEV,2.146682119759622e-05
DST_TO_SRC_IAT_MAX,2.018667233480363e-05
NUM_PKTS_128_TO_256_BYTES,1.9990013253106488e-05
SRC_TO_DST_AVG_THROUGHPUT,1.9696793800218343e-05
DURATION_IN,1.964688356826332e-05
NUM_PKTS_1024_TO_1514_BYTES,1.9266346252086978e-05
TCP_FLAGS,1.849865874044294e-05
SRC_TO_DST_IAT_STDDEV,1.709276026769889e-05
IN_PKTS,1.702685905837871e-05
SRC_TO_DST_IAT_AVG,1.6849589250835213e-05
MIN_IP_PKT_LEN,1.5738788645154282e-05
CLIENT_TCP_FLAGS,1.4995432184145169e-05
SRC_TO_DST_SECOND_BYTES,1.4002794339541843e-05
OUT_PKTS,1.399402832764233e-05
SHORTEST_FLOW_PKT,1.3564343784209978e-05
OUT_BYTES,1.347254766718654e-05
SRC_TO_DST_IAT_MIN,1.32005477283262e-05
DNS_TTL_ANSWER,1.1943894675789775e-05
NUM_PKTS_UP_TO_128_BYTES,1.1197783804198003e-05
SRC_TO_DST_IAT_MAX,9.960365408344275e-06
NUM_PKTS_256_TO_512_BYTES,9.903131280641719e-06
DST_TO_SRC_IAT_AVG,9.864275675686212e-06
NUM_PKTS_512_TO_1024_BYTES,9.585346096517758e-06
ICMP_TYPE,8.996439425495706e-06
DST_TO_SRC_AVG_THROUGHPUT,8.729718675523325e-06
DST_TO_SRC_IAT_MIN,6.505913814501745e-06
RETRANSMITTED_OUT_BYTES,8.791470427770353e-07
RETRANSMITTED_OUT_PKTS,0.0
RETRANSMITTED_IN_PKTS,0.0
RETRANSMITTED_IN_BYTES,0.0
FTP_COMMAND_RET_CODE,0.0
ICMP_IPV4_TYPE,0.0
