feature,mean_abs_shap
temporal::FLOW_START_MILLISECONDS,1.6673293646344973
temporal::FLOW_END_MILLISECONDS,0.8998757486639078
static::L4_DST_PORT,0.029604890287714625
static::L4_SRC_PORT,0.02104343845660992
static::L7_PROTO,0.01770807656444049
static::TCP_WIN_MAX_IN,0.017344730403419818
static::CLIENT_TCP_FLAGS,0.010344695081585087
static::PROTOCOL,0.007863025247706901
static::SERVER_TCP_FLAGS,0.007272930182261916
temporal::FLOW_DURATION_MILLISECONDS,0.005610676523713209
temporal::DST_TO_SRC_IAT_MAX,0.00492265959173892
static::TCP_FLAGS,0.0037408314532882516
temporal::DST_TO_SRC_IAT_AVG,0.002863817863374152
static::TCP_WIN_MAX_OUT,0.002605232844609873
static::MIN_IP_PKT_LEN,0.00240154865898603
temporal::SRC_TO_DST_IAT_STDDEV,0.0020940965734001617
temporal::DURATION_IN,0.0016695648786139827
temporal::SRC_TO_DST_IAT_MAX,0.0015699829817492628
static::DNS_QUERY_ID,0.0014871220590464418
static::MAX_TTL,0.0014507480400453687
temporal::DURATION_OUT,0.0014109459041264927
temporal::DST_TO_SRC_IAT_STDDEV,0.0012715011114579511
static::MIN_TTL,0.001113352566129322
temporal::SRC_TO_DST_IAT_AVG,0.0009048579066646467
static::SHORTEST_FLOW_PKT,0.0008278599653323227
static::MAX_IP_PKT_LEN,0.0007932943835555761
static::LONGEST_FLOW_PKT,0.0007658362642473549
static::DST_TO_SRC_AVG_THROUGHPUT,0.00023890710274176996
static::SRC_TO_DST_SECOND_BYTES,0.0001709957554406394
static::SRC_TO_DST_AVG_THROUGHPUT,0.00015753814665835363
static::DNS_TTL_ANSWER,0.0001550736679689635
temporal::SRC_TO_DST_IAT_MIN,0.00010281671475134146
static::DST_TO_SRC_SECOND_BYTES,5.9592572949185296e-05
temporal::DST_TO_SRC_IAT_MIN,5.808683338542064e-05
static::NUM_PKTS_512_TO_1024_BYTES,3.7196855068044596e-05
static::ICMP_TYPE,2.4089648164571375e-05
static::ICMP_IPV4_TYPE,2.1689871083219182e-05
static::DNS_QUERY_TYPE,7.5055539032309325e-06
static::NUM_PKTS_1024_TO_1514_BYTES,9.067477103691379e-07
static::IN_BYTES,8.509518229948831e-07
static::OUT_BYTES,6.997341135564147e-07
static::NUM_PKTS_256_TO_512_BYTES,6.413433675375377e-07
static::RETRANSMITTED_OUT_PKTS,3.9796574002946665e-07
static::NUM_PKTS_128_TO_256_BYTES,3.222988958051509e-07
static::IN_PKTS,2.2242001324612736e-07
static::OUT_PKTS,1.5608677697599715e-07
static::NUM_PKTS_UP_TO_128_BYTES,1.371471139336323e-07
static::RETRANSMITTED_IN_PKTS,1.1103558948885594e-07
static::RETRANSMITTED_OUT_BYTES,5.682250296921987e-08
static::RETRANSMITTED_IN_BYTES,2.1616231266866246e-09
static::FTP_COMMAND_RET_CODE,0.0
