feature,mean_abs_shap
FLOW_END_MILLISECONDS,0.579600519304222
FLOW_START_MILLISECONDS,0.578804525124724
TCP_WIN_MAX_IN,0.07928185590715486
SERVER_TCP_FLAGS,0.051111587128190195
MAX_TTL,0.04510491515508619
MIN_TTL,0.04301706220434198
L7_PROTO,0.03847636562943535
L4_DST_PORT,0.02446596797909706
MIN_IP_PKT_LEN,0.019619200669922066
CLIENT_TCP_FLAGS,0.010855834277052168
PROTOCOL,0.010397076515801018
L4_SRC_PORT,0.008016530740604821
TCP_WIN_MAX_OUT,0.006774755540213562
MAX_IP_PKT_LEN,0.006694643955029278
DNS_QUERY_ID,0.006408089318480137
LONGEST_FLOW_PKT,0.0060859254502076965
TCP_FLAGS,0.005385775725372355
SHORTEST_FLOW_PKT,0.00403689164382115
FLOW_DURATION_MILLISECONDS,0.0017164173049026843
DST_TO_SRC_AVG_THROUGHPUT,0.0015368370463484382
SRC_TO_DST_SECOND_BYTES,0.0008874760496411227
DNS_TTL_ANSWER,0.0007054270492554693
DST_TO_SRC_IAT_MAX,0.00039724791348216826
ICMP_IPV4_TYPE,0.00038375357254892724
SRC_TO_DST_AVG_THROUGHPUT,0.00037466516184370136
DURATION_OUT,0.0003624934952937142
ICMP_TYPE,0.0003127509726490094
DURATION_IN,0.0002815732796072612
DST_TO_SRC_IAT_STDDEV,0.00025443611202263794
FTP_COMMAND_RET_CODE,0.0002378988720010966
DST_TO_SRC_SECOND_BYTES,0.00023423281127565865
DST_TO_SRC_IAT_AVG,0.000209572434298394
SRC_TO_DST_IAT_MAX,0.0001945763198023219
SRC_TO_DST_IAT_STDDEV,0.0001693009209509655
SRC_TO_DST_IAT_AVG,0.00011054326643900048
DNS_QUERY_TYPE,7.582477631729034e-05
NUM_PKTS_512_TO_1024_BYTES,4.7653808870007364e-05
SRC_TO_DST_IAT_MIN,2.277255941046316e-05
DST_TO_SRC_IAT_MIN,1.1581945245449712e-05
NUM_PKTS_1024_TO_1514_BYTES,1.1506688780915653e-05
NUM_PKTS_128_TO_256_BYTES,5.277333522124561e-06
IN_BYTES,4.40008100144329e-06
OUT_BYTES,4.382336929356634e-06
NUM_PKTS_UP_TO_128_BYTES,2.915204910421132e-06
NUM_PKTS_256_TO_512_BYTES,2.471680498210716e-06
IN_PKTS,1.3029016403542926e-06
RETRANSMITTED_IN_PKTS,7.404817661410217e-07
OUT_PKTS,6.442546207874019e-07
RETRANSMITTED_OUT_PKTS,4.3740454957964976e-07
RETRANSMITTED_OUT_BYTES,9.62812334679851e-08
RETRANSMITTED_IN_BYTES,3.326462941418967e-08
