step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-ToN-IoT-v3.csv,clean,AE,0.746,0.5404101326899879,0.8942115768463074,0.38720829732065687,0.8224583849047998
drift,NF-ToN-IoT-v3.csv,clean,LSTM,0.9686666666666667,0.959412780656304,0.9585849870578085,0.9602420051858254,0.994853016395097
drift,NF-ToN-IoT-v3.csv,clean,DSFANet,0.9693333333333334,0.9603106125970664,0.958656330749354,0.9619706136560069,0.994549724262279
drift,NF-ToN-IoT-v3.csv,clean,Stacking,0.9706666666666667,0.9618055555555556,0.9659982563208369,0.9576490924805532,0.9942092636386487
drift,NF-ToN-IoT-v3.csv,clean,XGBoostStacking,0.9763333333333334,0.9690901175446234,0.9763157894736842,0.9619706136560069,0.9959216477453873
drift,NF-ToN-IoT-v3.csv,label_shift,AE,0.501,0.5495034607282576,0.9743863393810032,0.3826487845766974,0.960838902047279
drift,NF-ToN-IoT-v3.csv,label_shift,LSTM,0.9643333333333334,0.9772291977016386,0.9926502377864246,0.9622799664710813,0.9991588645038281
drift,NF-ToN-IoT-v3.csv,label_shift,DSFANet,0.9706666666666667,0.9813322019516334,0.9935567010309279,0.9694048616932104,0.9992311958888234
drift,NF-ToN-IoT-v3.csv,label_shift,Stacking,0.9653333333333334,0.977862920391656,0.9935121107266436,0.962699077954736,0.9990891513576838
drift,NF-ToN-IoT-v3.csv,label_shift,XGBoostStacking,0.9676666666666667,0.9793485203321269,0.99524015577672,0.9639564124057,0.9993146184620582
drift,NF-ToN-IoT-v3.csv,corruption,AE,0.38333333333333336,0.5542168674698795,0.38333333333333336,1.0,0.38333333333333336
drift,NF-ToN-IoT-v3.csv,corruption,LSTM,0.6283333333333333,0.5179420665801989,0.5150472914875323,0.5208695652173913,0.5030236067222197
drift,NF-ToN-IoT-v3.csv,corruption,DSFANet,0.6183333333333333,0.20870767104353835,0.5084175084175084,0.13130434782608696,0.4302114641135637
drift,NF-ToN-IoT-v3.csv,corruption,Stacking,0.6796666666666666,0.410790925812385,0.6964656964656964,0.29130434782608694,0.5888088158577955
drift,NF-ToN-IoT-v3.csv,corruption,XGBoostStacking,0.6076666666666667,0.30642309958750735,0.4753199268738574,0.22608695652173913,0.5044601177378393
drift,NF-ToN-IoT-v3.csv,natural_NF_BoT_IoT_v3,AE,0.997,0.9984977466199298,0.997,1.0,0.997
drift,NF-ToN-IoT-v3.csv,natural_NF_BoT_IoT_v3,LSTM,0.36633333333333334,0.5348666503547834,0.9972627737226277,0.36542962219993314,0.997739993976036
drift,NF-ToN-IoT-v3.csv,natural_NF_BoT_IoT_v3,DSFANet,0.021666666666666667,0.03675746636035445,1.0,0.018722835172183216,0.9958871970562961
drift,NF-ToN-IoT-v3.csv,natural_NF_BoT_IoT_v3,Stacking,0.223,0.36259228876127975,0.9954954954954955,0.22166499498495487,0.9948824577832602
drift,NF-ToN-IoT-v3.csv,natural_NF_BoT_IoT_v3,XGBoostStacking,0.11033333333333334,0.19584212112081953,0.9908536585365854,0.10865931126713474,0.9950174837971879
drift,NF-ToN-IoT-v3.csv,adv_fgsm,AE,0.385,0.5555287882437967,0.38510354041416167,0.996542783059637,0.3851049801422321
drift,NF-ToN-IoT-v3.csv,adv_fgsm,LSTM,0.5283333333333333,0.34216643421664344,0.3702213279678068,0.3180639585133967,0.415062000224666
drift,NF-ToN-IoT-v3.csv,adv_fgsm,DSFANet,0.623,0.22053756030323915,0.54421768707483,0.13828867761452032,0.4869910799811217
drift,NF-ToN-IoT-v3.csv,adv_fgsm,Stacking,0.619,0.23340040241448692,0.5209580838323353,0.15038893690579083,0.45468408829963974
drift,NF-ToN-IoT-v3.csv,adv_fgsm,XGBoostStacking,0.584,0.19483870967741934,0.3842239185750636,0.13050993949870354,0.4156750126342946
drift,NF-ToN-IoT-v3.csv,adv_pgd,AE,0.385,0.5555287882437967,0.38510354041416167,0.996542783059637,0.3851049801422321
drift,NF-ToN-IoT-v3.csv,adv_pgd,LSTM,0.6933333333333334,0.5413758723828515,0.6395759717314488,0.4693171996542783,0.6188180702585425
drift,NF-ToN-IoT-v3.csv,adv_pgd,DSFANet,0.17066666666666666,0.1531654186521443,0.12633352049410443,0.1944684528954192,0.24208675281925154
drift,NF-ToN-IoT-v3.csv,adv_pgd,Stacking,0.6193333333333333,0.35553047404063204,0.5121951219512195,0.2722558340535869,0.39340675702392014
drift,NF-ToN-IoT-v3.csv,adv_pgd,XGBoostStacking,0.5563333333333333,0.2184380504991192,0.34065934065934067,0.16076058772687987,0.3458686154115377
drift,NF-ToN-IoT-v3.csv,adv_mimicry,AE,0.61,0.064,0.43010752688172044,0.03457216940363008,0.39626288617174393
drift,NF-ToN-IoT-v3.csv,adv_mimicry,LSTM,0.5986666666666667,0.001658374792703151,0.02040816326530612,0.000864304235090752,0.3701337289692278
drift,NF-ToN-IoT-v3.csv,adv_mimicry,DSFANet,0.5983333333333334,0.0,0.0,0.0,0.36652381296466263
drift,NF-ToN-IoT-v3.csv,adv_mimicry,Stacking,0.6013333333333334,0.0,0.0,0.0,0.37285826780351733
drift,NF-ToN-IoT-v3.csv,adv_mimicry,XGBoostStacking,0.6053333333333333,0.0,0.0,0.0,0.36752281757717264
drift,NF-ToN-IoT-v3.csv,adv_gdkde,AE,0.6006666666666667,0.6583000570450656,0.49127288207747977,0.9974070872947277,0.5132004487900741
drift,NF-ToN-IoT-v3.csv,adv_gdkde,LSTM,0.7283333333333334,0.5318782309017805,0.7928082191780822,0.40017286084701814,0.7101148041462226
