feature,mean_abs_shap
TCP_FLAGS,0.0010830471504296756
FTP_COMMAND_RET_CODE,0.0010460037904799328
DNS_QUERY_ID,0.0009300225165423749
LONGEST_FLOW_PKT,0.0007780462635474568
CLIENT_TCP_FLAGS,0.0005827169346853363
MAX_IP_PKT_LEN,0.00055819359305292
SERVER_TCP_FLAGS,0.0004515173283237344
MAX_TTL,0.00031005302609400464
MIN_TTL,0.0002574154323399193
TCP_WIN_MAX_IN,0.0001637699889999173
DST_TO_SRC_AVG_THROUGHPUT,0.0001350888090153624
TCP_WIN_MAX_OUT,0.00011491601879547869
ICMP_IPV4_TYPE,7.74934274691256e-05
ICMP_TYPE,7.415061489125583e-05
SRC_TO_DST_SECOND_BYTES,7.037380620961012e-05
MIN_IP_PKT_LEN,6.857210237389265e-05
NUM_PKTS_UP_TO_128_BYTES,6.713813781029449e-05
DST_TO_SRC_SECOND_BYTES,6.127854772770125e-05
NUM_PKTS_128_TO_256_BYTES,6.123620584846971e-05
L4_DST_PORT,5.88200996276495e-05
DNS_QUERY_TYPE,5.587153589002407e-05
OUT_BYTES,5.480550041399478e-05
NUM_PKTS_256_TO_512_BYTES,5.006027365821239e-05
PROTOCOL,4.839172525269922e-05
IN_BYTES,4.661264856298943e-05
SRC_TO_DST_IAT_STDDEV,4.577214359900326e-05
DST_TO_SRC_IAT_AVG,4.456543319892559e-05
DURATION_OUT,4.3672402769100953e-05
RETRANSMITTED_IN_BYTES,4.239888138276255e-05
SRC_TO_DST_IAT_MAX,4.1168424419125485e-05
L4_SRC_PORT,4.066704247150192e-05
FLOW_DURATION_MILLISECONDS,3.876488433434502e-05
SRC_TO_DST_IAT_AVG,3.77200445545235e-05
SRC_TO_DST_AVG_THROUGHPUT,3.7592302451105355e-05
RETRANSMITTED_IN_PKTS,3.749541255003723e-05
DST_TO_SRC_IAT_STDDEV,3.703973093912321e-05
RETRANSMITTED_OUT_BYTES,3.5422901250985083e-05
SHORTEST_FLOW_PKT,3.4990473764715855e-05
IN_PKTS,3.330431724845244e-05
L7_PROTO,3.194393570660416e-05
NUM_PKTS_512_TO_1024_BYTES,3.1058044027312774e-05
DST_TO_SRC_IAT_MAX,3.0521379861759846e-05
OUT_PKTS,2.931316425437022e-05
DURATION_IN,2.832019577240956e-05
RETRANSMITTED_OUT_PKTS,2.7194019912297333e-05
DNS_TTL_ANSWER,1.8880563889497266e-05
NUM_PKTS_1024_TO_1514_BYTES,1.5649225065814603e-05
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
