feature,mean_abs_shap
static::MAX_TTL,7.557343935312408e-11
static::MIN_TTL,7.336755785588906e-11
static::SERVER_TCP_FLAGS,3.12239851541548e-11
static::CLIENT_TCP_FLAGS,1.0557929476431166e-11
static::TCP_FLAGS,9.701502595148044e-12
static::MIN_IP_PKT_LEN,8.665097482215037e-12
static::L4_DST_PORT,2.836103262091114e-12
static::TCP_WIN_MAX_OUT,2.5165799755503745e-12
static::FTP_COMMAND_RET_CODE,1.975982024489051e-12
static::DST_TO_SRC_AVG_THROUGHPUT,1.7075771462466436e-12
static::L4_SRC_PORT,1.435406122293892e-12
static::ICMP_IPV4_TYPE,1.4309096767729146e-12
static::L7_PROTO,1.3491350678494825e-12
static::SRC_TO_DST_SECOND_BYTES,1.2415453385026708e-12
static::TCP_WIN_MAX_IN,1.1000816148126766e-12
static::ICMP_TYPE,1.0407633203879125e-12
static::LONGEST_FLOW_PKT,1.0168837204018408e-12
static::MAX_IP_PKT_LEN,8.298418681896643e-13
static::DST_TO_SRC_SECOND_BYTES,6.755582623341701e-13
static::PROTOCOL,5.923994113857983e-13
static::NUM_PKTS_UP_TO_128_BYTES,4.2583610834818614e-13
static::SRC_TO_DST_AVG_THROUGHPUT,3.8563063782557873e-13
static::SHORTEST_FLOW_PKT,3.595385253810326e-13
static::DNS_QUERY_TYPE,3.0374891041555466e-13
static::DNS_QUERY_ID,2.8224593766122834e-13
static::NUM_PKTS_512_TO_1024_BYTES,1.2552208764932538e-13
temporal::FLOW_START_MILLISECONDS,5.988328343692089e-14
static::NUM_PKTS_1024_TO_1514_BYTES,4.2236875920374386e-14
static::OUT_BYTES,3.79677622177195e-14
temporal::FLOW_END_MILLISECONDS,3.535578718328114e-14
static::RETRANSMITTED_OUT_PKTS,3.210833034898172e-14
static::NUM_PKTS_128_TO_256_BYTES,2.4317805939383992e-14
static::RETRANSMITTED_OUT_BYTES,1.791721277563976e-14
static::NUM_PKTS_256_TO_512_BYTES,1.55147344272777e-14
static::IN_PKTS,9.24233495435688e-15
static::OUT_PKTS,9.092886722259245e-15
static::RETRANSMITTED_IN_PKTS,2.472633773429441e-15
static::RETRANSMITTED_IN_BYTES,6.579991006012045e-16
static::IN_BYTES,3.0307853668852645e-16
temporal::DST_TO_SRC_IAT_STDDEV,1.412446671808634e-17
temporal::DST_TO_SRC_IAT_MAX,5.228882044422011e-18
temporal::DST_TO_SRC_IAT_AVG,1.2065324688813045e-18
temporal::SRC_TO_DST_IAT_STDDEV,5.707678484094386e-19
temporal::SRC_TO_DST_IAT_MAX,4.857323581431205e-19
static::DNS_TTL_ANSWER,3.564612171572208e-19
temporal::DURATION_OUT,1.9114259270524839e-19
temporal::SRC_TO_DST_IAT_AVG,1.3892762210114729e-19
temporal::DURATION_IN,9.901016762951072e-20
temporal::FLOW_DURATION_MILLISECONDS,3.145853610594171e-20
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
