feature,mean_abs_shap
MIN_TTL,0.0027098152500286687
MAX_TTL,0.002663699285108123
TCP_FLAGS,0.0005786122160316154
L4_SRC_PORT,0.00043742192066176244
L4_DST_PORT,0.0003773669727422657
SERVER_TCP_FLAGS,0.00033635131717346667
MIN_IP_PKT_LEN,0.0003117827357641545
TCP_WIN_MAX_OUT,0.0002414684859743943
L7_PROTO,0.00019070152274736074
SHORTEST_FLOW_PKT,0.0001735327102210249
ICMP_IPV4_TYPE,0.0001624695407258514
TCP_WIN_MAX_IN,0.0001571662228774251
CLIENT_TCP_FLAGS,0.00013344633832446107
LONGEST_FLOW_PKT,0.00013296044730992662
ICMP_TYPE,0.00010478132755054048
MAX_IP_PKT_LEN,9.302757884301766e-05
DST_TO_SRC_AVG_THROUGHPUT,7.868898219709486e-05
SRC_TO_DST_SECOND_BYTES,7.728656778649423e-05
DST_TO_SRC_SECOND_BYTES,6.355348318526355e-05
NUM_PKTS_128_TO_256_BYTES,4.9945558565439585e-05
DNS_QUERY_ID,4.44094723626165e-05
FLOW_END_MILLISECONDS,4.185912735010788e-05
NUM_PKTS_UP_TO_128_BYTES,3.878444426190508e-05
SRC_TO_DST_AVG_THROUGHPUT,2.8151002323895113e-05
FLOW_START_MILLISECONDS,2.233048666333559e-05
FTP_COMMAND_RET_CODE,1.9481050986525452e-05
RETRANSMITTED_OUT_PKTS,1.193497354767814e-05
DURATION_IN,1.1399863893951645e-05
NUM_PKTS_512_TO_1024_BYTES,1.0748522787373815e-05
SRC_TO_DST_IAT_MAX,1.0381191188957306e-05
OUT_PKTS,1.0247423551490442e-05
DURATION_OUT,9.542842181464728e-06
DST_TO_SRC_IAT_MAX,6.35364391932125e-06
DST_TO_SRC_IAT_AVG,6.322815338966059e-06
FLOW_DURATION_MILLISECONDS,5.922884666165196e-06
SRC_TO_DST_IAT_STDDEV,4.064318796119515e-06
PROTOCOL,3.7691113923266073e-06
DST_TO_SRC_IAT_STDDEV,3.361215036128129e-06
OUT_BYTES,3.130825070307708e-06
RETRANSMITTED_OUT_BYTES,2.7670335948437944e-06
IN_PKTS,2.502899606349196e-06
SRC_TO_DST_IAT_AVG,2.4028814096660467e-06
NUM_PKTS_1024_TO_1514_BYTES,2.2352533651792683e-06
DNS_QUERY_TYPE,1.1074509866926263e-06
RETRANSMITTED_IN_PKTS,6.489675377467641e-07
NUM_PKTS_256_TO_512_BYTES,5.58977593517751e-07
IN_BYTES,1.0278909432295813e-07
RETRANSMITTED_IN_BYTES,7.042782190801785e-08
DNS_TTL_ANSWER,1.1176938659513775e-10
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
