step,dataset,ensemble,subset,members,eval_size,acc,f1,precision,recall,ap
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,all,"RandomForest,SGD,AE,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,all,"RandomForest,SGD,AE,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_rf,"SGD,AE,LSTM,DSFANet",3000,0.989,0.8782287822878229,1.0,0.7828947368421053,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_rf,"SGD,AE,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_sgd,"RandomForest,AE,LSTM,DSFANet",3000,0.989,0.8782287822878229,1.0,0.7828947368421053,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_sgd,"RandomForest,AE,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_ae,"RandomForest,SGD,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,0.9999999999999998
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_ae,"RandomForest,SGD,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,0.9999999999999998
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_lstm,"RandomForest,SGD,AE,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_lstm,"RandomForest,SGD,AE,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_dsfanet,"RandomForest,SGD,AE,LSTM",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_dsfanet,"RandomForest,SGD,AE,LSTM",3000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,traditional_only,"RandomForest,SGD",3000,0.9996666666666667,0.9967213114754099,0.9934640522875817,1.0,0.9999999999999999
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,traditional_only,"RandomForest,SGD",3000,1.0,1.0,1.0,1.0,0.9999999999999999
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,neural_only,"AE,LSTM,DSFANet",3000,0.9873333333333333,0.8571428571428571,1.0,0.75,0.9989316768733774
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,neural_only,"AE,LSTM,DSFANet",3000,1.0,1.0,1.0,1.0,1.0
