feature,mean_abs_shap
static::SERVER_TCP_FLAGS,0.111532061714535
static::MIN_TTL,0.07588431766209976
static::MAX_TTL,0.05373680079396718
static::CLIENT_TCP_FLAGS,0.038424112455160316
static::TCP_FLAGS,0.03330777468875707
static::MAX_IP_PKT_LEN,0.013971075272665659
static::TCP_WIN_MAX_IN,0.011963547284882317
static::MIN_IP_PKT_LEN,0.007017838710982259
static::DNS_QUERY_ID,0.006242859474188701
static::ICMP_TYPE,0.006175991318194843
static::ICMP_IPV4_TYPE,0.005845292880876895
static::FTP_COMMAND_RET_CODE,0.005089341000792324
static::LONGEST_FLOW_PKT,0.00446320953879462
static::L4_DST_PORT,0.0035561039054383646
static::DST_TO_SRC_AVG_THROUGHPUT,0.0033630065484864494
static::L4_SRC_PORT,0.0033084850564747813
static::NUM_PKTS_UP_TO_128_BYTES,0.0032541797615883265
static::TCP_WIN_MAX_OUT,0.0032531092035369773
static::SRC_TO_DST_SECOND_BYTES,0.003104540271265024
static::PROTOCOL,0.002647284558937251
static::L7_PROTO,0.002325886519521205
static::SHORTEST_FLOW_PKT,0.002302343209911979
static::SRC_TO_DST_AVG_THROUGHPUT,0.0015678783362809694
static::DST_TO_SRC_SECOND_BYTES,0.0014995017199131613
static::RETRANSMITTED_OUT_PKTS,0.0006831783280886921
static::NUM_PKTS_128_TO_256_BYTES,0.0005144212210611941
static::OUT_PKTS,0.0003881872103427307
static::NUM_PKTS_512_TO_1024_BYTES,0.0003449407685237856
static::OUT_BYTES,0.0001939424243199715
static::NUM_PKTS_1024_TO_1514_BYTES,0.00016652633766574783
temporal::FLOW_START_MILLISECONDS,0.00012792947873217458
static::RETRANSMITTED_OUT_BYTES,0.0001012794469863593
temporal::FLOW_END_MILLISECONDS,8.742391211464077e-05
static::IN_PKTS,6.325632718513075e-05
static::NUM_PKTS_256_TO_512_BYTES,3.8771921378132026e-05
static::RETRANSMITTED_IN_PKTS,2.141151451447628e-05
static::IN_BYTES,1.7806148231444187e-05
static::DNS_QUERY_TYPE,1.6726037650064258e-05
static::RETRANSMITTED_IN_BYTES,8.175126129683284e-06
temporal::DST_TO_SRC_IAT_STDDEV,3.7014501137589727e-06
temporal::DST_TO_SRC_IAT_AVG,2.47230236772866e-06
temporal::DST_TO_SRC_IAT_MAX,9.871262568280897e-07
temporal::SRC_TO_DST_IAT_STDDEV,5.086568988650571e-07
temporal::SRC_TO_DST_IAT_AVG,3.1877107407688123e-07
temporal::SRC_TO_DST_IAT_MAX,2.2195682973028253e-07
temporal::DURATION_OUT,4.813710623761007e-08
temporal::DURATION_IN,4.3477799582191056e-08
temporal::FLOW_DURATION_MILLISECONDS,5.766868551642023e-09
static::DNS_TTL_ANSWER,5.5370332490370055e-09
temporal::SRC_TO_DST_IAT_MIN,0.0
temporal::DST_TO_SRC_IAT_MIN,0.0
