feature,mean_abs_shap
FLOW_END_MILLISECONDS,3.2648853638850284e-05
FLOW_START_MILLISECONDS,5.465895883016714e-06
FLOW_DURATION_MILLISECONDS,2.3399857443373584e-07
DURATION_IN,2.11356961094325e-07
DURATION_OUT,1.7293571486290404e-07
SRC_TO_DST_IAT_MAX,9.428510966760784e-08
DST_TO_SRC_IAT_STDDEV,6.317118363130536e-08
SRC_TO_DST_IAT_AVG,2.7205796623332168e-08
SRC_TO_DST_IAT_STDDEV,2.666933674160682e-08
DST_TO_SRC_IAT_MAX,2.4899034980086637e-08
DST_TO_SRC_IAT_AVG,6.076667176824896e-09
SRC_TO_DST_IAT_MIN,0.0
DST_TO_SRC_IAT_MIN,0.0
